att0,att1,att2,att3,att4,att5,att6,att7,att8,att9,att10,att11,att12,att13,class
∆ﬂ∆•¿«_9,0.6451612903225806,0.06451612903225806,0.03225806451612903,0.0,0,1,0.9772727272727273,0.7586206896551724,0.7,0.6666666666666666,1.0,1.0,1.0,1.0,0
∆ﬂ∆•¿«_9,0.5135135135135135,0.1891891891891892,0.05405405405405406,0.05405405405405406,0,0,0.7586206896551724,0.5,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,1.0,0
∆ﬂ∆•¿«_9,0.6086956521739131,0.17391304347826086,0.0,0.0,0,1,0.7586206896551724,0.7,0.6666666666666666,0.5,1.0,1.0,1.0,1.0,0
∆ﬂ∆•¿«_9,0.46153846153846156,0.19230769230769232,0.038461538461538464,0.057692307692307696,0,1,0.7586206896551724,0.75,0.7,0.5,1.0,1.0,1.0,1.0,0
∆ﬂ∆•¿«_9,0.3953488372093023,0.3023255813953488,0.0,0.023255813953488372,0,0,0.8333333333333334,0.7586206896551724,0.75,0.6,1.0,1.0,1.0,1.0,0
∆ﬂ∆•¿«_9,0.4444444444444444,0.1111111111111111,0.0,0.0,0,0,0.7586206896551724,0.25,0.0,0.0,1.0,1.0,1.0,1.0,0
∆ﬂ∆•¿«_9,0.4,0.1,0.0,0.1,0,0,0.7586206896551724,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0
∆ﬂ∆•¿«_3,0.3409090909090909,0.25,0.022727272727272728,0.1590909090909091,0,0,1.0,1.0,1.0,1.0,0.5,0.5,0.3333333333333333,0.2413793103448276,1
∆ﬂ∆•¿«_3,0.4,0.4,0.0,0.0,0,1,1.0,1.0,1.0,1.0,0.5,0.25,0.2413793103448276,0.0,1
∆ﬂ∆•¿«_4,0.5777777777777777,0.14444444444444443,0.0,0.011111111111111112,0,2,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.3333333333333333,1
∆ﬂ∆•¿«_5,0.4838709677419355,0.1935483870967742,0.0,0.12903225806451613,0,0,1.0,1.0,1.0,1.0,0.75,0.6,0.2413793103448276,0.022727272727272728,1
∆ﬂ∆•¿«_5,0.1702127659574468,0.1276595744680851,0.0,0.3404255319148936,0,3,1.0,1.0,1.0,1.0,0.3,0.3,0.3,0.2413793103448276,1
∆ﬂ∆•¿«_5,0.5,0.1,0.1,0.0,0,1,1.0,1.0,1.0,1.0,0.2413793103448276,0.0,0.0,0.0,1
∆ﬂ∆•¿«_5,0.13636363636363635,0.045454545454545456,0.0,0.36363636363636365,0,1,1.0,1.0,1.0,1.0,0.3,0.2413793103448276,0.022727272727272728,0.022727272727272728,1
∆ﬂ∆•¿«_5,0.11764705882352941,0.23529411764705882,0.0,0.23529411764705882,0,1,1.0,1.0,1.0,1.0,0.3333333333333333,0.2413793103448276,0.022727272727272728,0.0,1
∆ﬂ∆•¿«_5,0.14285714285714285,0.14285714285714285,0.0,0.3142857142857143,0,3,1.0,1.0,1.0,1.0,0.2413793103448276,0.022727272727272728,0.022727272727272728,0.022727272727272728,1
∆ﬂ∆•¿«_5,0.5555555555555556,0.2222222222222222,0.1111111111111111,0.1111111111111111,0,1,1.0,1.0,1.0,1.0,0.5,0.2413793103448276,0.0,0.0,1
∆ﬂ∆•¿«_5,0.16666666666666666,0.125,0.0,0.3333333333333333,0,0,1.0,1.0,1.0,1.0,0.3,0.2413793103448276,0.022727272727272728,0.022727272727272728,1
∆ﬂ∆•¿«_6,0.625,0.1875,0.0625,0.0,0,1,1.0,1.0,1.0,1.0,0.2413793103448276,0.2413793103448276,0.0,0.0,1
∆ﬂ∆•¿«_7,0.5294117647058824,0.14705882352941177,0.0,0.029411764705882353,0,2,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1
∆ﬂ∆•¿«_7,0.2926829268292683,0.1951219512195122,0.0,0.17073170731707318,0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.2413793103448276,0.0,1
∆ﬂ∆•¿«_7,0.4666666666666667,0.26666666666666666,0.0,0.13333333333333333,0,0,1.0,1.0,1.0,1.0,0.2413793103448276,0.0,0.0,0.0,1
∆ﬂ∆•¿«_7,0.45614035087719296,0.19298245614035087,0.017543859649122806,0.10526315789473684,0,0,1.0,1.0,1.0,1.0,1.0,0.75,0.6,0.2413793103448276,1
∆ﬂ∆•¿«_7,0.55,0.18333333333333332,0.03333333333333333,0.03333333333333333,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
∆ﬂ∆•¿«_7,0.5789473684210527,0.2631578947368421,0.05263157894736842,0.05263157894736842,0,1,1.0,1.0,1.0,1.0,0.3333333333333333,0.2413793103448276,0.0,0.0,1
∆ﬂ∆•¿«_8,0.2631578947368421,0.10526315789473684,0.0,0.10526315789473684,0,0,1.0,1.0,1.0,1.0,1.0,0.5,0.2413793103448276,0.022727272727272728,1
∆ﬂ∆•¿«_8,0.391304347826087,0.2391304347826087,0.021739130434782608,0.021739130434782608,0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.2413793103448276,1
